,title,subtitle,link
0,MAN CITY 1 ARSENAL 0,Gunners lose first game in almost 3 months as Ake dumps them out Cup,https://www.thesun.co.uk/sport/21192154/man-city-1-arsenal-0-fa-cup-nathan-ake/
1,KARREN BRADY,Ronaldo isn't a unique star & his comment on £170m Saudi deal reeks of conceit,https://www.thesun.co.uk/sport/21192284/cristiano-ronaldo-saudi-arabia-karren-brady/
2,RASHY'S NET PROFIT,Man Utd ace Marcus Rashford set to become even richer with clever move,https://www.thesun.co.uk/sport/21191519/man-utd-marcus-rashford-football-business/
3,MOUR PLEASE,Mourinho 'interested' in Chelsea job as Roma boss desperate for Prem return,https://www.thesun.co.uk/sport/21193602/jose-mourinho-chelsea-job-interested-roma-transfer-frustration/
4,KO OFFER,Beterbiev v Yarde: Get Beterbiev KO/TKO at 20/1 or Yarde KO/TKO at huge 150/1,https://www.thesun.co.uk/sport/21174122/artur-beterbiev-anthony-yarde-boxing-boost/
5,TROY DEENEY,I didn't like Dyche at first but he's a top man and will sort out Everton mess,https://www.thesun.co.uk/sport/21192113/troy-deeney-sean-dyche-sort-out-everton-mess/
6,TOFF NEGOTIATOR,Dyche has savvy clause in £5m-a-year Everton deal to protect against sack,https://www.thesun.co.uk/sport/21192596/sean-dyche-savvy-clause-everton-contract/
7,NEXT OBSTACLE,I starred on Ninja Warrior and played with Rashford but hope to face Man Utd,https://www.thesun.co.uk/sport/21192699/otis-khan-ninja-warrior-grimsby-man-utd/
8,HOLD ON,Arsenal struggle against simple Man City tactic as Haaland exploits Rob Holding,https://www.thesun.co.uk/sport/21191589/arsenal-struggle-man-city-tactic-haaland-holding/
9,PARTEY POOPER,Arteta gives injury update on Partey after star is forced off in FA Cup loss,https://www.thesun.co.uk/sport/21192926/mikel-arteta-arsenal-injury-update-thoma-partey/
10,TO DEL 'N' BACK,Watch Dele Alli finally win over Besiktas fans with MOTM display and goal,https://www.thesun.co.uk/sport/21190620/dele-alli-goal-motm-besiktas-alanyaspor-everton/
11,IT'S OL TOO MUCH,Watch as Arsenal ace Zinchenko appears to lose his cool with old City pals,https://www.thesun.co.uk/sport/21192695/watch-zinchenko-lose-cool-man-city-stars-fa-cup/
12,RANKED,Best casino welcome bonuses - UK casino offers for January 2023,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
13,GOT A HOL IN THEM,Hollie Shearer shows off bod in biker jacket & revealing leather trousers,https://www.thesun.co.uk/sport/21190441/alan-shearer-daughter-hollie-incredible-figure/
14,CAMPER,"Win a VW Transporter +£1,000 or £40k cash from 89p with our special discount code",https://www.thesun.co.uk/sport/betting-tips/18918779/win-car-competition-7dp/
15,WRIGHT LAUGH,Keane has Wrighty in stitches with Pep advice after City chief's ITV interview,https://www.thesun.co.uk/sport/21191774/roy-keane-smirk-pep-guardiola-man-city-arsenal/
16,PUT ACCRING ON IT,Marsch takes wife on romantic date... to Accrington's Wham Stadium,https://www.thesun.co.uk/sport/21191450/leeds-jesse-marsch-accrington-wife-date/
17,'I'M NOT HARRY POTTER!',"Ten Hag says Rashford's magic is all his own, not from the boss",https://www.thesun.co.uk/sport/21192249/ten-hag-rashford-man-utd-harry-potter/
18,GETTING SHIRTY,Richarlison trolls Moura with hilarious sign as pal scores on Spurs return,https://www.thesun.co.uk/sport/21191655/richarlison-lucas-moura-tottenham-arsenal/
19,PROMOTION,The best casino bonuses for players in the UK: Top 10 sites for 2023,https://www.thesun.co.uk/betting/20754895/casino-bonus/
20,DONE & GUSTED,Chelsea 'AGREE £26m Gusto transfer as they beat Man Utd in race for Lyon ace',https://www.thesun.co.uk/sport/21190653/chelsea-agree-malo-gusto-lyon-transfer-man-utd/
21,TOFF LUCK,Newcastle 'AGREE' £45m Anthony Gordon transfer from Everton,https://www.thesun.co.uk/sport/21187865/newcastle-close-anthony-gordon-transfer-everton/
22,ARSENAL RATINGS,Trossard shines against Man City but Holding loses Haaland battle,https://www.thesun.co.uk/sport/21192308/arsenal-ratings-man-city-trossard-shines-holding-haaland/
23,'SAVED MY LIFE',"Doc said I may lose leg after training injury, now I'll face Foxes in Cup",https://www.thesun.co.uk/sport/21191106/liam-gordon-walsall-leicester-fa-cup-leg-horror/
24,FREE BETS,Free bets - Best betting offers in January 2023,https://www.thesun.co.uk/betting/20812234/free-bets/
25,SAV SIGNS,Man Utd starlet Charlie Savage - son of Robbie - joins Forest Green on loan,https://www.thesun.co.uk/sport/21190440/man-utd-charlie-savage-robbie-forest-green-loan-transfer/
26,REF WATCH,Legendary football referee is unrecognisable in throwback pic with flowing hair,https://www.thesun.co.uk/sport/21183652/legendary-football-referee-unrecognisable-throwback-picture/
27,GIFT FOR THE GAB,Martinelli more than doubles Arsenal wage in new long-term mega deal,https://www.thesun.co.uk/sport/21190262/arsenal-agree-gabriel-martinelli-bumper-contract/
28,BAY BYE,Bayern AXE Gnabry for Frankfurt clash following Paris Fashion Week trip,https://www.thesun.co.uk/sport/21190808/bayern-munich-serge-gnabry-frankfurt-arsenal-paris-fashion-week/
29,BECK TO THE FUTURE,Watch Romeo Beckham net amazing free-kick dad David would be proud of,https://www.thesun.co.uk/sport/21188955/romeo-beckham-david-free-kick-man-utd/
30,CROP SHOCK,Prem icon unrecognisable without ponytail as he gets 5-year ban for fake licence,https://www.thesun.co.uk/sport/21192947/premier-league-icon-banned-fake-coaching-licence/
31,BASH GORDON,Vid of Gordon scrapping with new Newcastle pals goes viral before awkward move,https://www.thesun.co.uk/sport/21189915/anthony-gordon-scrapping-newcastle-players-transfer/
32,NEW CAT ON THE BLOCK,Sunderland sign Gelhardt from Leeds to boost Pre promotion bid,https://www.thesun.co.uk/sport/21189481/transfer-news-sunderland-sign-gelhardt/
33,MIAMI SLICE,David Beckham and Tom Brady enjoy 'daddy-daughter date' at pizza restaurant,https://www.thesun.co.uk/sport/21188973/man-utd-beckham-brady-daughter-pizza-miami-restaurant/
34,ROCK N'GOL,Chelsea boost with Kante ‘set to return from injury before Dortmund clash',https://www.thesun.co.uk/sport/21189515/chelsea-ngolo-kante-return-injury-champions-league-borussia-dortmund/
35,'PRICELESS',Fans say same thing as Ferguson offered vegan burger by Forest Green chairman,https://www.thesun.co.uk/sport/football/21182276/duncan-ferguson-vegan-forest-green/
36,RUUD AWAKENING,Elanga lined up for PSV move as Van Nistelrooy considers raid on former club,https://www.thesun.co.uk/sport/21191176/man-utd-anthony-elanga-psv-transfer-ruud-van-nistelrooy/
37,FAB £30,Bonus: Get £30 in FREE BETS when you stake £10 with Sky Bet -18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/19781466/sky-bet-30-free-bets/
38,MESS OF THE BEST,Messi voted best star of 2022 after World Cup but where does Ronaldo rank?,https://www.thesun.co.uk/sport/21183448/messi-voted-best-footballer-ronaldo-not-top-50/
39,A WAND-FUL,Wanda Nara sends Instagram wild with busty bikini post in most revealing picture,https://www.thesun.co.uk/sport/21182124/wanda-nara-sends-instagram-wild-busty-mauro-icardi/
40,READY TO GO,How Man Utd could line up for FA Cup clash vs Reading with Sancho available,https://www.thesun.co.uk/sport/21182839/man-utd-maguire-pellistri-reading/
41,FLARING UP,Arsenal midfielder slapped with one-match ban for holding a flare,https://www.thesun.co.uk/sport/21192447/arsenal-loanee-miguel-azeez-ban-flare-wigan-cardiff/
42,FLYIN' BRYAN,Sevilla's Jorge Sampaoli publicly reveals plans to sign Spurs star Bryan Gil,https://www.thesun.co.uk/sport/21190106/sevilla-jorge-sampaoli-tottenham-bryan-gil-transfer/
43,PREM 'RAPE',Premier League star held for 'rape' has bail extended and will continue to play,https://www.thesun.co.uk/sport/21186453/premier-league-star-arrest-rape-bail-extended/
44,TUCH OF TENNIS,Tuchel in stands at Australian Open as ex-Chelsea manager enjoys time off,https://www.thesun.co.uk/sport/21190019/thomas-tuchel-australian-open-chelsea-manager/
45,CHI TARGET,Man Utd ‘want Federico Chiesa transfer but face £90m fight from Liverpool’,https://www.thesun.co.uk/sport/21183441/manutd-federico-chiesa-transfer-juventus-liverpool/
46,POR OVER,Spurs willing to pay Pedro Porro's £39.9m release clause after talks with Sporting,https://www.thesun.co.uk/sport/21172031/tottenham-willing-porro-release-clause-exclusive/
47,NOT IN GOOD NIC,Bournemouth transfer for Jackson collapses after forward fails medical,https://www.thesun.co.uk/sport/21190595/bournemouth-nicolas-jackson-failed-medical-villarreal/
48,HE'S A KEEPER,Nottingham Forest ‘targeting PSG star Navas with goalkeeper keen on switch’,https://www.thesun.co.uk/sport/21186738/nottingham-forest-psg-keylor-navas-transfer-madrid-premier-league/
49,OUTFOXED,"Leicester set to beat West Ham, Leeds and Brentford in deal for Lyon winger Tete",https://www.thesun.co.uk/sport/21190538/leicester-tete-transfer-lyon-west-ham-leeds/
50,‘LONDON I’M READY’,New boy Kiwior’s ‘Queen of Twerking’ wife sends message to Arsenal fans,https://www.thesun.co.uk/sport/21175916/claudia-kowalczyk-twerking-jakub-kiwior-arsenal-transfer/
51,ART OF THE DEAL,Everton eye Dnipro striker Artem Dovbyk after missing out on Danjuma,https://www.thesun.co.uk/sport/21174134/everton-dovbyk-transfer-danjuma/
52,TAKE THE MICH,Antonio lined up for MLS move after falling down pecking order at West Ham,https://www.thesun.co.uk/sport/21172175/west-ham-michail-antonio-shock-mls-transfer/
53,HE'S A KEPA,Chelsea star Kepa rewarded for reclaiming Blues No1 spot with Spain recall,https://www.thesun.co.uk/sport/football/21184359/chelsea-kepa-arrizabalaga-spain-world-cup/
54,PAY JUDE,Liverpool and Man City blow with 'Dortmund to offer Bellingham club-record deal',https://www.thesun.co.uk/sport/21189330/liverpool-transfer-blow-dortmund-offer-bellingham-record-contract/
55,NEW LOOK,"How Newcastle could line up with Gordon, Zaniolo and Man Utd star",https://www.thesun.co.uk/sport/football/21158800/newcastle-gordon-zaniolo-mctominay-transfers/
56,GO WEST,Leeds ‘set to beat Arsenal to McKennie transfer as star agrees personal terms’,https://www.thesun.co.uk/sport/21182186/leeds-weston-mckennie-transfer-race-agrees-personal-terms/
57,SKRINI-ARGH,Mystery Premier League club 'offers Milan Skriniar better terms than PSG',https://www.thesun.co.uk/sport/21191453/mystery-premier-league-club-skriniar-transfer-psg/
58,GONE POTTY,Potter to axe three stars in January window cull as squad overhaul continues,https://www.thesun.co.uk/sport/21170653/chelsea-graham-potter-transfer-squad-overhaul/
59,FRANC TALK,Newcastle 'launch third £14m bid for Franca' but Flamengo want £17.5m and clause,https://www.thesun.co.uk/sport/21165297/newcastle-matheus-franca-transfer-flamengo-new-bid/
60,MAN UTD LIVE,"£65million Dani Olmo 'chance', Marcus Thuram interest, Dumfries on radar",https://www.thesun.co.uk/sport/20874338/man-utd-transfer-news-live-dani-olmo-marcus-thuram-kane/
61,GUNNERS LIVE,"Caicedo BEGS Brighton to accept £60m bid, Martinelli 'AGREES' new contract",https://www.thesun.co.uk/sport/21158908/arsenal-transfer-news-live-moises-caicedo-onana-declan-rice/
62,'PLEASE STAY',Fans convinced Guimaraes has signed new Newcastle deal after cryptic tweet,https://www.thesun.co.uk/sport/21187755/fans-bruno-guimaraes-contract-newcastle-brazil-cryptic-tweet/
63,FLEX HIS GUNNS,Inside Nketiah’s muscle-building workouts and special diet for title charge,https://www.thesun.co.uk/sport/21179868/arsenal-eddie-nketiah-high-calorie-diet-muscle-building-workouts/
64,ING-JECTION,Ings gets jab in knee to speed up recovery after injury seconds into debut,https://www.thesun.co.uk/sport/21179200/danny-ings-injection-knee-injury-west-ham/
65,TOP PRIORITY,I'm a Man Utd fan and these are the competitions I'd sacrifice this season,https://www.thesun.co.uk/sport/21188830/tom-mcdermott-man-utd-fa-cup-europa-league/
66,WOUT ABOUT THAT,Weghorst wants to STAY at Man Utd beyond loan transfer after first goal,https://www.thesun.co.uk/sport/21175333/weghorst-manchester-united-nottingham-forest-ten-hag/
67,FOUR GONE CONCLUSION,Four more Man Utd stars could LEAVE this month as Savage heads out,https://www.thesun.co.uk/sport/21178600/man-utd-leave-transfer-charlie-savage-loan/
68,PROMOTION,"Best football betting sites in the UK: Top online bookies for January, 2023",https://www.thesun.co.uk/betting/20574123/best-football-betting-sites/
69,BIG OFFER,Betfair free bets: Stake £10 on football to get £30 bonus - 18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/19802970/betfair-free-bets-sign-up-bonus-football/
70,REVIEW,The best online casinos in the UK: Top 20 casino sites for January 2023,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
71,SPECIAL DAY,Mourinho gets cake for 60th birthday... and gives just ONE Roma star a slice,https://www.thesun.co.uk/sport/21179675/jose-mourinho-cake-roma-players-birthday/
72,LOVE IS BLIND,Herrera pokes fun at himself after brutal snub in Bilbao celebration,https://www.thesun.co.uk/sport/21189006/man-utd-herrera-williams-goal-snub-athletic-bilbao/
73,UR LUCKY,Uruguay stars slapped with bans after causing chaos at World Cup 2022,https://www.thesun.co.uk/sport/21189578/uruguay-jose-gimenez-edinson-cavani-bans-world-cup-fifa/
74,KOL SHOULDER,Toure SACKED by Wigan after just two months as he fails to win any of 9 games,https://www.thesun.co.uk/sport/21178929/kolo-toure-sacked-wigan-arsenal/
75,WATCH THIS SPACE,"Ronaldo gifted £630,000 one-of-a-kind Saudi-inspired Jacob & Co watch",https://www.thesun.co.uk/sport/21169984/cristiano-ronaldo-gifted-saudi-inspired-jacob-watch/
76,FOOTIE TRAGEDY,"Tributes flood in for amateur footballer, 20, after sudden death",https://www.thesun.co.uk/sport/21187828/amateur-footballer-luke-abrahams-dead-tributes/
77,CRIS BLISS,Piers Morgan says Ronaldo is 'loving it on and off the pitch' in Saudi Arabia,https://www.thesun.co.uk/sport/21193674/ronaldo-piers-morgan-saudi-arabia-text/
78,INC-REDIBLE,Ince reveals the one Man Utd player he hopes doesn't feature in FA Cup clash,https://www.thesun.co.uk/sport/21181252/man-utd-paul-ince-reading-fa-cup-old-trafford/
79,REF FEARS,Clattenburg flees Egypt after abuse as club boss claims ref in gay relationship,https://www.thesun.co.uk/sport/21154929/mark-clattenburg-flee-egypt-abuse-referee-gay/
80,TROY DEENEY,"Black footballers are angry at John Yems, I can't deal with someone so ignorant",https://www.thesun.co.uk/sport/21114804/black-footballer-fury-yems-deeney-column/
81,KARREN BRADY,Premier League is UK's best asset but it must remain elite to retain success,https://www.thesun.co.uk/sport/21115590/premier-league-success-uk-desired-asset-elite-competition-brady/
82,MARK IRWIN,Arsenal vs Man Utd is the biggest game in English football again,https://www.thesun.co.uk/sport/21130484/mark-irwin-arsenal-man-utd-arteta-ten-hag/
83,GIRL POWER,"Footballers’ Wags who rebelled, like slamming players' 'disgusting' clubs",https://www.thesun.co.uk/sport/21170695/footballers-wags-rebelling-slamming-clubs/
84,COR BLIMEY,Mexico star Cortes shocks fans by promoting wife's OnlyFans modelling career,https://www.thesun.co.uk/sport/21164390/mexico-javier-cortes-onlyfans-modelling-career/
85,WONDER WAG,Sergio Ramos' stunning wife Pilar Rubio wows in a tiny grey lingerie set,https://www.thesun.co.uk/sport/21179115/sergio-ramos-wife-pilar-rubio-lingerie/
